job_id,job_title,job_description,job_skill_set,Salary Range,location,company,experience_level,Industry,Job Type,Date Posted
71ff193a-7c85-4ff7-96e2-4025a8e57054,Software Engineer,Develop software,"Java, Python","£40,000 - £60,000",London,ABC Tech,Entry-Level,Technology,Full-Time,1/5/2023
645da9da-9ba9-4d47-b011-cacfdd4972dc,Data Analyst,Analyze data,"SQL, Excel","£35,000 - £50,000",Manchester,XYZ Analytics,Junior,Analytics,Full-Time,2/10/2023
8ae0f932-b6f5-400d-9b1a-ca520fd9033b,Network Engineer,Maintain networks,"Cisco, WAN","£45,000 - £70,000",Birmingham,Network Solutions,Mid-Level,Networking,Full-Time,3/15/2023
c037b846-4335-4488-80ea-58e7b29657a0,Cloud Architect,Design cloud,"AWS, Azure","£60,000 - £90,000",Edinburgh,Cloud Innovators,Senior,Cloud Computing,Full-Time,4/20/2023
0abb55af-2e4c-48b1-86c5-d6453242fdf5,Cybersecurity Analyst,Protect data,Cybersecurity,"£50,000 - £80,000",Glasgow,SecureGuard,Mid-Level,Security,Full-Time,5/25/2023
333944f4-176d-4516-ae60-9235a3f197b1,IT Project Manager,Manage projects,"PMP, Agile","£70,000 - £100,000",Leeds,Project Leaders,Senior,Project Management,Full-Time,6/30/2023
80c783a8-3fca-4b43-95ae-1d49e1dc3478,Data Scientist,Analyze big data,"R, Python","£55,000 - £85,000",Bristol,Data Insights,Mid-Level,Data Science,Full-Time,7/5/2023
1e2e6484-373e-436b-948b-c6a0902258d5,DevOps Engineer,Streamline devops,"Docker, Jenkins","£50,000 - £75,000",Newcastle,DevOps Solutions,Mid-Level,DevOps,Full-Time,8/10/2023
3eddd76e-7903-442c-8f33-c584f31c1f60,IT Support Analyst,Provide IT support,"Windows, Linux","£30,000 - £45,000",Sheffield,IT Services,Entry-Level,Support,Full-Time,9/15/2023
64231137-fe09-4359-bc49-5d2f3659a9aa,UX/UI Designer,Design user interfaces,UI/UX Design,"£40,000 - £70,000",Cardiff,Design Studios,Junior,Design,Full-Time,10/20/2023
6d356d4d-80a3-4447-84e3-261b66c7de76,Database Analyst,Manage databases,"SQL, Oracle, Database Management","£40,000 - £65,000",London,Data Solutions,Mid-Level,Database,Full-Time,11/25/2023
e21c133e-fca7-4b11-81a2-153f2bcb64d5,UI Developer,Design user interfaces,"HTML, CSS, JavaScript","£35,000 - £55,000",Manchester,Web Creations,Junior,Web Development,Full-Time,12/10/2023
50e0e664-3391-4c82-a582-06e27f36f97c,System Administrator,Maintain systems,"Windows Server, Active Directory","£45,000 - £70,000",Birmingham,System Services,Mid-Level,IT Services,Full-Time,1/15/2023
c913dcbd-2017-48f7-ae3c-8507b8b67bab,AI/ML Engineer,Develop AI models,"Python, TensorFlow, AI/ML","£55,000 - £85,000",Edinburgh,AI Innovations,Mid-Level,Artificial Intelligence,Full-Time,2/20/2023
a1c5613a-b805-431d-8225-c48b5d93e9bc,IT Auditor,Audit IT systems,"Audit, Risk Management","£50,000 - £80,000",Glasgow,Audit Experts,Mid-Level,Audit,Full-Time,3/25/2023
32a77312-f1e7-446b-b525-2f72fc9f5824,Network Security Engineer,Secure networks,"Firewall, VPN, Security","£55,000 - £90,000",Leeds,SecureNet,Mid-Level,Security,Full-Time,4/30/2023
bb023d9b-240c-4317-a1b1-a6913409b6af,Software Tester,Test software,"Manual Testing, Bug Tracking","£30,000 - £50,000",Bristol,QA Solutions,Entry-Level,Quality Assurance,Full-Time,5/5/2023
61f37c2f-f5c3-4e68-bb0f-91e746b61a9a,Cloud Solutions Architect,Design cloud solutions,"AWS, Azure, Architecture","£65,000 - £100,000",Newcastle,Cloud Architects,Senior,Cloud Computing,Full-Time,6/10/2023
